key,keyhold
t,32.0
e,49.0
SPACE,44.0
a,64.0
r,32.0
e,65.0
SPACE,59.0
n,57.0
i,48.0
e,57.0
SPACE,83.0
t,65.0
o,64.0
SPACE,74.0
r,40.0
BACKSPACE,48.0
e,57.0
SPACE,58.0
t,48.0
h,58.0
e,65.0
r,49.0
e,58.0
SPACE,50.0
a,56.0
r,41.0
e,73.0
SPACE,43.0
t,48.0
o,65.0
SPACE,59.0
s,56.0
e,65.0
n,49.0
t,57.0
e,64.0
n,49.0
e,57.0
s,64.0
SPACE,66.0
i,57.0
n,48.0
SPACE,68.0
t,57.0
h,49.0
i,56.0
s,56.0
SPACE,51.0
a,81.0
t,56.0
a,64.0
SPACE,59.0
s,41.0
a,74.0
l,56.0
e,49.0
t,57.0
h,48.0
i,65.0
SPACE,65.0
BACKSPACE,40.0
BACKSPACE,49.0
s,42.0
SPACE,67.0
i,40.0
s,57.0
SPACE,73.0
a,57.0
SPACE,57.0
t,41.0
e,56.0
s,63.0
t,57.0
SPACE,59.0
BACKSPACE,25.0
BACKSPACE,41.0
BACKSPACE,40.0
t,48.0
SPACE,58.0
t,48.0
o,57.0
SPACE,65.0
s,65.0
e,48.0
e,41.0
SPACE,41.0
i,58.0
SPACE,84.0
t,57.0
h,65.0
e,56.0
SPACE,75.0
o,56.0
r,56.0
s,65.0
SPACE,60.0
t,64.0
h,57.0
a,64.0
t,48.0
SPACE,42.0
i,57.0
SPACE,43.0
t,41.0
e,65.0
SPACE,51.0
r,57.0
e,64.0
BACKSPACE,33.0
BACKSPACE,66.0
BACKSPACE,65.0
a,74.0
r,41.0
e,65.0
SPACE,60.0
n,48.0
i,57.0
e,64.0
SPACE,68.0
t,57.0
o,56.0
SPACE,67.0
r,18.0
e,36.0
BACKSPACE,34.0
BACKSPACE,57.0
BACKSPACE,40.0
r,57.0
BACKSPACE,33.0
e,50.0
SPACE,41.0
t,33.0
h,56.0
e,56.0
r,49.0
e,64.0
SPACE,29.0
a,57.0
r,42.0
e,57.0
SPACE,53.0
t,57.0
o,58.0
SPACE,60.0
s,56.0
e,57.0
n,74.0
t,66.0
e,73.0
n,65.0
e,57.0
s,56.0
SPACE,66.0
i,80.0
n,57.0
SPACE,58.0
t,48.0
h,49.0
i,65.0
s,57.0
SPACE,51.0
a,42.0
o,28.0
t,56.0
a,66.0
BACKSPACE,49.0
BACKSPACE,24.0
BACKSPACE,49.0
t,57.0
a,65.0
SPACE,59.0
s,57.0
a,65.0
l,48.0
e,56.0
t,74.0
h,58.0
i,72.0
s,65.0
SPACE,68.0
i,65.0
s,49.0
SPACE,67.0
a,49.0
SPACE,75.0
t,64.0
e,65.0
s,64.0
t,64.0
SPACE,57.0
t,80.0
o,73.0
SPACE,74.0
s,72.0
e,49.0
e,80.0
SPACE,50.0
i,73.0
SPACE,66.0
t,65.0
h,65.0
e,73.0
SPACE,50.0
o,58.0
r,49.0
s,65.0
SPACE,51.0
t,48.0
h,64.0
a,65.0
t,56.0
SPACE,58.0
i,64.0
SPACE,73.0
t,56.0
e,64.0
SPACE,58.0
a,58.0
r,57.0
e,81.0
SPACE,51.0
n,65.0
i,56.0
e,65.0
SPACE,59.0
t,56.0
o,73.0
SPACE,92.0
r,73.0
SPACE,43.0
BACKSPACE,43.0
BACKSPACE,33.0
e,41.0
SPACE,27.0
t,57.0
h,64.0
e,57.0
r,58.0
e,74.0
SPACE,39.0
a,73.0
r,58.0
e,65.0
SPACE,57.0
t,56.0
o,56.0
SPACE,49.0
s,56.0
e,73.0
n,57.0
t,64.0
e,73.0
n,65.0
e,56.0
s,65.0
SPACE,49.0
i,64.0
n,48.0
SPACE,74.0
t,49.0
h,49.0
i,57.0
s,56.0
SPACE,68.0
a,65.0
t,50.0
a,65.0
SPACE,60.0
s,52.0
a,64.0
l,65.0
e,57.0
t,41.0
h,56.0
i,66.0
s,57.0
SPACE,66.0
i,57.0
s,63.0
SPACE,89.0
a,49.0
SPACE,58.0
BACKSPACE,42.0
BACKSPACE,40.0
BACKSPACE,48.0
BACKSPACE,41.0
BACKSPACE,49.0
SPACE,49.0
a,67.0
SPACE,59.0
t,49.0
e,64.0
s,57.0
t,48.0
SPACE,59.0
t,66.0
o,57.0
SPACE,75.0
s,64.0
e,41.0
e,74.0
SPACE,60.0
i,41.0
SPACE,75.0
t,57.0
h,64.0
e,56.0
SPACE,34.0
o,50.0
r,57.0
s,66.0
SPACE,42.0
t,41.0
h,58.0
a,58.0
t,50.0
SPACE,52.0
i,65.0
SPACE,85.0
t,65.0
e,65.0
SPACE,43.0
a,65.0
r,42.0
e,73.0
SPACE,59.0
n,40.0
i,57.0
e,57.0
SPACE,36.0
t,57.0
o,58.0
r,57.0
BACKSPACE,41.0
BACKSPACE,50.0
SPACE,67.0
e,73.0
SPACE,57.0
t,40.0
h,65.0
e,65.0
r,56.0
e,73.0
SPACE,50.0
a,65.0
r,56.0
e,73.0
SPACE,50.0
t,65.0
o,65.0
SPACE,60.0
s,48.0
e,62.0
n,64.0
t,57.0
e,74.0
n,81.0
e,66.0
s,58.0
SPACE,51.0
i,58.0
n,58.0
t,41.0
h,41.0
i,64.0
SPACE,50.0
BACKSPACE,19.0
BACKSPACE,42.0
BACKSPACE,33.0
BACKSPACE,56.0
BACKSPACE,33.0
SPACE,51.0
t,65.0
h,49.0
i,56.0
SPACE,59.0
BACKSPACE,49.0
BACKSPACE,65.0
BACKSPACE,66.0
s,58.0
SPACE,44.0
a,73.0
t,58.0
a,66.0
SPACE,73.0
s,38.0
a,64.0
l,64.0
e,48.0
t,89.0
h,40.0
i,49.0
s,88.0
SPACE,50.0
o,65.0
s,65.0
BACKSPACE,20.0
BACKSPACE,40.0
i,57.0
s,49.0
SPACE,51.0
a,97.0
SPACE,44.0
t,65.0
e,50.0
s,81.0
t,73.0
SPACE,77.0
t,82.0
o,73.0
SPACE,49.0
s,82.0
e,97.0
e,74.0
SPACE,65.0
i,58.0
SPACE,33.0
t,80.0
h,41.0
e,72.0
SPACE,50.0
r,64.0
s,73.0
BACKSPACE,40.0
BACKSPACE,89.0
BACKSPACE,81.0
BACKSPACE,73.0
o,40.0
r,80.0
s,73.0
SPACE,50.0
t,65.0
h,73.0
a,89.0
t,81.0
SPACE,65.0
i,65.0
SPACE,33.0
t,65.0
e,105.0
SPACE,66.0
a,97.0
r,72.0
e,89.0
SPACE,77.0
n,58.0
i,49.0
e,73.0
SPACE,83.0
t,65.0
o,74.0
SPACE,61.0
e,74.0
BACKSPACE,27.0
e,81.0
SPACE,50.0
t,64.0
h,73.0
e,113.0
r,72.0
r,89.0
SPACE,73.0
BACKSPACE,25.0
BACKSPACE,65.0
e,81.0
SPACE,58.0
a,41.0
r,81.0
e,81.0
SPACE,67.0
t,49.0
o,64.0
SPACE,59.0
s,65.0
e,82.0
BACKSPACE,57.0
n,65.0
t,65.0
r,72.0
n,82.0
e,98.0
s,90.0
BACKSPACE,26.0
BACKSPACE,89.0
BACKSPACE,41.0
BACKSPACE,83.0
BACKSPACE,41.0
e,56.0
n,74.0
e,89.0
s,90.0
SPACE,75.0
i,56.0
n,57.0
SPACE,20.0
SPACE,58.0
BACKSPACE,42.0
t,89.0
h,64.0
i,56.0
s,105.0
SPACE,69.0
a,97.0
t,65.0
a,114.0
SPACE,60.0
s,26.0
a,104.0
l,65.0
e,57.0
t,65.0
h,33.0
i,56.0
s,72.0
SPACE,57.0
i,65.0
s,64.0
SPACE,73.0
a,81.0
SPACE,59.0
t,49.0
e,65.0
s,61.0
t,58.0
SPACE,67.0
BACKSPACE,28.0
BACKSPACE,56.0
BACKSPACE,17.0
t,58.0
SPACE,36.0
t,49.0
o,66.0
SPACE,75.0
s,65.0
e,48.0
e,72.0
SPACE,65.0
i,54.0
t,57.0
BACKSPACE,25.0
BACKSPACE,73.0
SPACE,81.0
t,57.0
h,57.0
e,49.0
SPACE,65.0
o,65.0
r,40.0
s,81.0
SPACE,51.0
t,40.0
h,33.0
a,49.0
t,33.0
SPACE,35.0
i,48.0
SPACE,76.0
t,49.0
e,65.0
SPACE,66.0
a,81.0
r,40.0
e,57.0
SPACE,74.0
n,73.0
i,57.0
e,57.0
SPACE,68.0
t,50.0
o,57.0
SPACE,75.0
e,48.0
SPACE,42.0
t,40.0
h,49.0
e,57.0
r,64.0
e,73.0
SPACE,48.0
a,80.0
r,49.0
e,64.0
SPACE,60.0
t,49.0
o,65.0
SPACE,59.0
s,57.0
e,66.0
n,65.0
t,57.0
e,57.0
n,49.0
e,56.0
s,73.0
SPACE,68.0
i,58.0
n,49.0
SPACE,52.0
t,65.0
h,57.0
i,72.0
s,57.0
SPACE,51.0
a,81.0
t,64.0
a,64.0
SPACE,61.0
s,63.0
a,89.0
l,71.0
e,66.0
BACKSPACE,25.0
BACKSPACE,49.0
e,41.0
t,48.0
h,49.0
i,65.0
s,49.0
SPACE,68.0
i,41.0
s,56.0
SPACE,84.0
a,65.0
SPACE,66.0
t,73.0
e,57.0
s,64.0
t,64.0
SPACE,74.0
t,66.0
o,65.0
SPACE,44.0
s,65.0
e,56.0
e,64.0
SPACE,66.0
i,65.0
SPACE,44.0
t,62.0
h,66.0
e,58.0
SPACE,52.0
o,74.0
r,41.0
s,65.0
SPACE,68.0
t,56.0
h,49.0
a,73.0
t,49.0
SPACE,44.0
i,57.0
SPACE,60.0
t,48.0
e,56.0
SPACE,50.0
a,80.0
r,49.0
e,80.0
SPACE,50.0
n,48.0
i,56.0
e,57.0
SPACE,57.0
t,40.0
o,65.0
SPACE,68.0
e,49.0
SPACE,50.0
t,50.0
h,65.0
e,64.0
r,48.0
e,65.0
SPACE,43.0
a,57.0
r,41.0
e,66.0
SPACE,51.0
t,49.0
o,34.0
SPACE,51.0
s,57.0
e,58.0
n,66.0
t,65.0
e,73.0
n,58.0
e,66.0
s,56.0
SPACE,36.0
i,33.0
n,65.0
SPACE,84.0
t,56.0
h,49.0
i,56.0
SPACE,51.0
BACKSPACE,49.0
BACKSPACE,49.0
s,49.0
SPACE,36.0
a,74.0
t,65.0
a,82.0
SPACE,59.0
s,41.0
a,66.0
l,66.0
e,49.0
s,57.0
e,64.0
o,66.0
n,49.0
SPACE,58.0
s,72.0
e,73.0
s,49.0
s,72.0
i,73.0
o,71.0
n,49.0
SPACE,66.0
i,64.0
l,49.0
l,66.0
SPACE,66.0
h,49.0
a,56.0
e,65.0
SPACE,58.0
i,65.0
e,74.0
r,56.0
e,81.0
n,72.0
t,65.0
SPACE,43.0
s,82.0
e,74.0
t,57.0
SPACE,76.0
i,58.0
BACKSPACE,42.0
BACKSPACE,29.0
BACKSPACE,56.0
BACKSPACE,64.0
o,49.0
SPACE,53.0
l,57.0
i,42.0
n,65.0
e,32.0
s,65.0
SPACE,59.0
BACKSPACE,57.0
BACKSPACE,83.0
SPACE,40.0
a,58.0
r,55.0
e,57.0
l,49.0
l,57.0
BACKSPACE,49.0
BACKSPACE,50.0
BACKSPACE,42.0
BACKSPACE,48.0
BACKSPACE,50.0
l,64.0
l,41.0
SPACE,74.0
s,80.0
e,56.0
l,41.0
e,64.0
t,81.0
e,72.0
SPACE,67.0
n,33.0
o,49.0
t,65.0
SPACE,67.0
t,73.0
o,65.0
SPACE,65.0
o,49.0
e,59.0
r,66.0
l,58.0
a,74.0
SPACE,60.0
i,72.0
t,50.0
h,41.0
SPACE,43.0
i,66.0
r,64.0
s,40.0
t,41.0
SPACE,57.0
o,57.0
l,49.0
l,65.0
e,26.0
t,57.0
i,73.0
o,64.0
n,58.0
SPACE,52.0
h,74.0
a,98.0
s,57.0
e,72.0
s,75.0
e,74.0
o,71.0
i,2.0
n,82.0
SPACE,82.0
BACKSPACE,49.0
BACKSPACE,73.0
BACKSPACE,49.0
BACKSPACE,40.0
BACKSPACE,57.0
n,49.0
SPACE,44.0
BACKSPACE,65.0
BACKSPACE,90.0
BACKSPACE,58.0
BACKSPACE,65.0
o,33.0
n,57.0
SPACE,51.0
s,97.0
e,90.0
s,80.0
s,81.0
i,55.0
o,63.0
n,49.0
SPACE,58.0
i,65.0
l,49.0
l,65.0
SPACE,59.0
h,56.0
a,81.0
e,57.0
SPACE,58.0
i,64.0
e,89.0
r,57.0
e,65.0
n,34.0
t,50.0
SPACE,36.0
s,72.0
e,73.0
t,65.0
s,82.0
SPACE,52.0
o,49.0
SPACE,68.0
l,57.0
n,82.0
e,65.0
s,25.0
SPACE,209.0
BACKSPACE,41.0
BACKSPACE,49.0
BACKSPACE,65.0
BACKSPACE,81.0
BACKSPACE,64.0
i,49.0
n,73.0
e,81.0
s,82.0
SPACE,50.0
BACKSPACE,50.0
SPACE,51.0
a,97.0
r,57.0
e,74.0
l,41.0
l,71.0
SPACE,43.0
s,73.0
e,64.0
l,49.0
e,65.0
t,41.0
e,57.0
SPACE,67.0
n,58.0
o,50.0
BACKSPACE,57.0
t,105.0
SPACE,84.0
t,65.0
o,57.0
SPACE,60.0
o,49.0
BACKSPACE,49.0
e,57.0
r,63.0
l,59.0
a,89.0
SPACE,59.0
i,56.0
t,56.0
h,49.0
SPACE,60.0
i,49.0
r,65.0
s,81.0
t,69.0
SPACE,60.0
o,74.0
l,58.0
l,48.0
e,82.0
t,48.0
i,57.0
o,64.0
n,41.0
SPACE,67.0
h,72.0
a,73.0
s,65.0
e,56.0
s,74.0
e,64.0
o,56.0
n,56.0
SPACE,75.0
s,72.0
e,80.0
s,88.0
s,73.0
i,48.0
o,14.0
o,56.0
n,33.0
SPACE,50.0
BACKSPACE,50.0
BACKSPACE,50.0
BACKSPACE,49.0
BACKSPACE,50.0
BACKSPACE,32.0
i,48.0
o,64.0
n,40.0
SPACE,74.0
i,64.0
l,49.0
l,64.0
SPACE,67.0
h,57.0
a,82.0
e,73.0
SPACE,49.0
i,56.0
e,58.0
r,81.0
e,90.0
n,65.0
t,49.0
SPACE,52.0
s,66.0
e,65.0
t,57.0
s,73.0
SPACE,68.0
BACKSPACE,29.0
BACKSPACE,58.0
SPACE,51.0
o,41.0
SPACE,67.0
l,65.0
i,57.0
n,49.0
e,81.0
s,65.0
SPACE,44.0
a,81.0
r,58.0
e,74.0
l,48.0
l,79.0
SPACE,44.0
s,73.0
e,74.0
l,56.0
e,55.0
t,57.0
e,74.0
SPACE,76.0
n,41.0
o,65.0
t,57.0
SPACE,74.0
t,73.0
o,57.0
SPACE,73.0
o,48.0
e,64.0
r,72.0
l,72.0
a,97.0
SPACE,58.0
i,56.0
t,49.0
h,58.0
SPACE,50.0
i,65.0
r,65.0
s,106.0
t,58.0
SPACE,66.0
o,64.0
l,65.0
l,72.0
e,97.0
t,73.0
i,73.0
o,47.0
n,49.0
SPACE,52.0
h,57.0
a,73.0
s,81.0
e,65.0
s,48.0
e,63.0
o,65.0
n,81.0
SPACE,66.0
s,73.0
e,80.0
s,82.0
s,73.0
i,49.0
o,57.0
n,41.0
SPACE,51.0
i,74.0
l,50.0
l,65.0
SPACE,68.0
h,40.0
a,73.0
e,65.0
SPACE,58.0
i,40.0
e,80.0
r,56.0
e,80.0
n,56.0
t,64.0
SPACE,58.0
s,83.0
e,56.0
t,64.0
SPACE,67.0
o,89.0
SPACE,49.0
l,66.0
i,56.0
n,65.0
e,81.0
s,64.0
SPACE,50.0
SPACE,41.0
BACKSPACE,33.0
BACKSPACE,57.0
BACKSPACE,49.0
BACKSPACE,51.0
SPACE,49.0
a,113.0
r,65.0
e,65.0
l,58.0
l,63.0
SPACE,51.0
s,65.0
e,57.0
l,57.0
e,73.0
t,73.0
e,74.0
SPACE,60.0
n,49.0
o,48.0
BACKSPACE,48.0
t,64.0
SPACE,60.0
t,49.0
o,49.0
SPACE,68.0
o,41.0
e,98.0
r,66.0
l,49.0
a,90.0
SPACE,68.0
i,49.0
t,57.0
h,41.0
SPACE,67.0
i,65.0
r,73.0
s,96.0
t,57.0
SPACE,41.0
o,57.0
l,56.0
l,57.0
e,73.0
t,64.0
i,57.0
o,65.0
n,49.0
SPACE,43.0
h,58.0
a,89.0
s,72.0
e,65.0
s,49.0
e,48.0
o,56.0
n,72.0
SPACE,58.0
s,72.0
e,74.0
s,56.0
s,73.0
i,49.0
o,55.0
n,49.0
SPACE,52.0
i,48.0
l,40.0
l,42.0
SPACE,51.0
h,57.0
a,74.0
e,83.0
SPACE,68.0
i,49.0
e,97.0
r,47.0
e,64.0
n,72.0
t,72.0
SPACE,66.0
s,65.0
e,57.0
t,58.0
SPACE,67.0
o,49.0
SPACE,75.0
l,49.0
n,81.0
e,73.0
s,65.0
SPACE,36.0
BACKSPACE,44.0
BACKSPACE,34.0
BACKSPACE,39.0
BACKSPACE,33.0
BACKSPACE,57.0
i,49.0
n,73.0
e,81.0
s,64.0
SPACE,36.0
SPACE,33.0
a,74.0
r,57.0
e,65.0
l,50.0
l,74.0
SPACE,67.0
s,81.0
e,73.0
l,58.0
e,73.0
t,74.0
e,81.0
SPACE,75.0
n,42.0
o,49.0
BACKSPACE,49.0
t,50.0
SPACE,52.0
t,48.0
o,56.0
SPACE,66.0
o,35.0
BACKSPACE,27.0
BACKSPACE,66.0
BACKSPACE,65.0
o,41.0
e,81.0
r,73.0
l,57.0
a,89.0
SPACE,68.0
i,47.0
t,65.0
h,48.0
n,9.0
SPACE,74.0
BACKSPACE,33.0
BACKSPACE,74.0
SPACE,68.0
i,58.0
r,82.0
s,98.0
t,65.0
SPACE,52.0
o,41.0
l,49.0
l,66.0
e,73.0
t,58.0
i,65.0
o,65.0
n,56.0
SPACE,58.0
h,56.0
a,97.0
s,66.0
e,73.0
s,47.0
e,57.0
o,64.0
n,65.0
SPACE,68.0
s,73.0
e,81.0
s,66.0
s,81.0
i,49.0
o,58.0
n,58.0
SPACE,61.0
i,57.0
l,57.0
l,64.0
SPACE,75.0
h,57.0
a,73.0
e,57.0
SPACE,68.0
i,56.0
e,98.0
r,57.0
e,73.0
n,48.0
t,65.0
SPACE,75.0
s,57.0
e,57.0
t,57.0
SPACE,68.0
o,49.0
SPACE,68.0
l,73.0
i,49.0
n,81.0
e,89.0
s,48.0
SPACE,58.0
BACKSPACE,33.0
BACKSPACE,49.0
BACKSPACE,64.0
BACKSPACE,81.0
BACKSPACE,73.0
BACKSPACE,73.0
BACKSPACE,44.0
SPACE,43.0
a,88.0
r,64.0
e,56.0
l,57.0
l,56.0
SPACE,59.0
s,56.0
e,56.0
l,49.0
e,88.0
t,65.0
e,74.0
SPACE,58.0
n,57.0
o,49.0
BACKSPACE,49.0
t,57.0
SPACE,68.0
t,75.0
o,58.0
SPACE,59.0
o,45.0
e,104.0
r,65.0
l,65.0
a,88.0
SPACE,67.0
o,56.0
BACKSPACE,65.0
BACKSPACE,80.0
i,56.0
t,49.0
h,50.0
SPACE,60.0
i,49.0
r,89.0
s,89.0
t,57.0
SPACE,66.0
o,58.0
l,82.0
l,89.0
e,74.0
t,73.0
i,57.0
o,74.0
n,50.0
SPACE,59.0
h,64.0
a,65.0
s,65.0
e,73.0
s,57.0
e,65.0
o,50.0
n,65.0
SPACE,84.0
s,82.0
e,82.0
s,72.0
s,73.0
i,49.0
o,57.0
n,49.0
SPACE,42.0
i,58.0
l,49.0
l,48.0
SPACE,66.0
a,81.0
h,74.0
BACKSPACE,31.0
BACKSPACE,33.0
h,41.0
a,58.0
e,56.0
SPACE,65.0
i,50.0
e,97.0
r,65.0
e,74.0
n,49.0
t,49.0
SPACE,50.0
s,56.0
e,65.0
t,57.0
SPACE,42.0
o,66.0
SPACE,65.0
l,65.0
i,57.0
n,73.0
e,81.0
s,57.0
SPACE,43.0
BACKSPACE,21.0
SPACE,43.0
a,72.0
r,55.0
e,2.0
e,58.0
l,40.0
l,64.0
SPACE,43.0
BACKSPACE,42.0
BACKSPACE,48.0
BACKSPACE,47.0
BACKSPACE,57.0
BACKSPACE,65.0
BACKSPACE,58.0
BACKSPACE,57.0
l,49.0
l,47.0
SPACE,52.0
s,59.0
e,65.0
l,48.0
e,74.0
t,73.0
e,73.0
